what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019687606
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1325019693274
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1325019693282
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1325019698272
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1325019698295
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1325019698351
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1325019698372
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1325019698618
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1325019698689
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1325019700174
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1325019700305
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325019700644
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325019700749
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1325019710468
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1325019710489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019719981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019720195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019732984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019733204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019794179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019794399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325019854749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325019883846
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1325019890627
started,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1325019891372
started,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1325019891425
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1325019891561
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1325019891639
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1325019892077
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325019893305
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325019893419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019893514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019893689
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325019899847
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325019899848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019908316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019932320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019940898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019949909
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325019953903
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1325019971898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019972091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019973407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019974248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325019975328
