what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731224329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331731242583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331731280142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331731293544
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1331731302287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731302370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731304123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731311903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731312142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331731314793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331731325475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.activateEditor",1331731327081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331731335721
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1331731338363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331731391864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731392276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731395249
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1331731397026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331731430464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731430767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331731432004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331731450132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331731450641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331731451072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331731451542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331731465158
