what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726745118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726752267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726781044
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331726782757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726788464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726817364
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331726819059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726821900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726829867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1331726829954
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331726830589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726862553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726864308
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331726865529
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331726869213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726873953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331726947261
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331726960869
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331727043250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727050420
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331727297724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727297834
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331727301119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727306951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727308261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727308778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727644169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727668312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727668409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727668420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727675009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727686467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727688503
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1331727688650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727689306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727692172
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331727692664
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331727786409
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331727789846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331727812544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728242307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728246800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728246891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728246902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728557559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331728558468
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331728560098
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331728563175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728566649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728583440
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331728587515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728616901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331728634949
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331728655324
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1331728658628
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1331728658630
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1331728679075
