what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767293457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767295248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767305939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767308636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767311990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767313322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767319376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767319588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767320973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767323161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767327271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767329068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767336082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767338012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767341004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767341212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767344620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767345513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767348200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767351155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767359456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767362389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767373046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336767389062
