what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325020763260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325020764874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325020766746
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1325020771652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325020773285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325020775959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325020787399
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325020788435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1325020803519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1325020804077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325020821760
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1325020823057
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1325020823074
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1325020823091
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325020830214
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1325020833983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325020834520
error,log,,,"No command output when running: 'am start -n co.uk.davemcqueen.HelloWorld/co.uk.davemcqueen.HelloWorld.HelloWorldActivity -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1325020942187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021078485
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325021078742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021090003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021148480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021156090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021158332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021300665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021650314
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325021652696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021656680
error,log,,,"Failed to load properties file for project 'Activities'",1325021679220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021679498
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325021694371
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1325021694521
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325021694521
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325021695148
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1325021695148
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1325021696619
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325021697901
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325021697901
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1325021701841
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1325021701861
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325021712601
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325021737402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325021737529
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325021748235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021750519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021754234
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325021754327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325021754327
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325021754473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021755969
error,log,,,"Failed to load properties file for project 'Activities'",1325021803882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325021804117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1325021804378
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325021809677
